Relation,TestSupport,TrainSupport,Prec,Recall,F1,AugTrainSupport,AugPrec,AugRecall,AugF1
overall,5648,19704,0.8357,0.8169,0.8262,68672,0.8353,0.8387,0.837
per:country_of_death,14,6,0,0.0,0,48,1.0,0.3571,0.5263
org:dissolved,5,23,0,0.0,0,141,0.5,0.2,0.2857
per:country_of_birth,0,25,0.0,0.0,0.0,182,0.0,0.0,0.0
per:stateorprovince_of_birth,9,44,0.7273,0.8889,0.8,297,0.7273,0.8889,0.8
org:number_of_employees/members,13,54,1.0,0.6923,0.8182,346,0.75,0.9231,0.8276
per:stateorprovince_of_death,16,58,0.3636,0.25,0.2963,408,1.0,0.5,0.6667
per:date_of_birth,7,69,0.7778,1.0,0.875,518,0.6364,1.0,0.7778
per:religion,59,74,0.5385,0.1186,0.1944,516,0.7222,0.661,0.6903
org:founded,34,80,0.8919,0.9706,0.9296,601,0.9189,1.0,0.9577
per:charges,126,87,0.7619,0.7619,0.7619,695,0.7261,0.9048,0.8057
per:city_of_birth,15,88,0.5333,0.5333,0.5333,88,0.8,0.5333,0.64
org:shareholders,12,93,1.0,0.0833,0.1538,654,0.4,0.1667,0.2353
per:other_family,52,105,1.0,0.7885,0.8817,822,0.746,0.9038,0.8174
org:founded_by,84,107,0.9342,0.8452,0.8875,797,0.9103,0.8452,0.8765
per:cause_of_death,50,114,0.7667,0.46,0.575,905,0.7576,0.5,0.6024
org:website,30,119,0.5854,0.8,0.6761,119,0.575,0.7667,0.6571
per:city_of_death,26,120,0.6667,0.5385,0.5957,836,0.7273,0.6154,0.6667
per:schools_attended,33,142,0.9286,0.7879,0.8525,840,0.8929,0.7576,0.8197
per:date_of_death,63,172,0.6623,0.8095,0.7286,1288,0.8361,0.8095,0.8226
per:parents,106,182,0.7742,0.6792,0.7236,1324,0.7755,0.717,0.7451
per:cities_of_residence,125,188,0.7864,0.648,0.7105,1362,0.6691,0.744,0.7045
org:political/religious_affiliation,29,190,0.8,0.8276,0.8136,1302,0.7568,0.9655,0.8485
per:countries_of_residence,148,201,0.703,0.4797,0.5703,1441,0.7287,0.6351,0.6787
per:siblings,66,211,0.8286,0.8788,0.8529,1654,0.76,0.8636,0.8085
per:stateorprovinces_of_residence,73,261,0.7895,0.6164,0.6923,261,0.7963,0.589,0.6772
per:spouse,73,271,0.75,0.8219,0.7843,271,0.8382,0.7808,0.8085
per:children,55,275,0.5094,0.4909,0.5,275,0.5217,0.4364,0.4752
per:origin,115,295,0.7232,0.7043,0.7137,295,0.7611,0.7478,0.7544
org:stateorprovince_of_branch,57,315,0.8491,0.7895,0.8182,315,0.7121,0.8246,0.7642
org:member_of,64,365,0.6207,0.5625,0.5902,365,0.6515,0.6719,0.6615
per:age,208,421,0.9126,0.9038,0.9082,421,0.9282,0.9327,0.9305
org:members,63,560,0.7407,0.6349,0.6838,560,0.7903,0.7778,0.784
org:city_of_branch,129,622,0.7969,0.7907,0.7938,622,0.7769,0.7287,0.752
org:country_of_branch,166,891,0.7143,0.6627,0.6875,891,0.7303,0.6687,0.6981
org:alternate_names,337,1319,0.8605,0.8605,0.8605,1319,0.861,0.8457,0.8533
org:top_members/employees,295,1475,0.9038,0.8915,0.8976,1475,0.9024,0.878,0.89
per:employee_of,332,2136,0.7838,0.7861,0.785,2136,0.7844,0.7892,0.7868
per:title,523,2626,0.9145,0.9407,0.9274,2626,0.9202,0.9254,0.9228
per:identity,2036,5320,0.8686,0.9062,0.887,5320,0.8762,0.9111,0.8933
